ลำดับ,Workplace Dimension,Scenario ID,Scenario หัวข้อ,Simple ID,Simple หัวข้อ
1,Innovation & Experimentation,S01,เมื่อทีมมีไอเดียใหม่,Q01,ไอเดียใหม่
2,Cross-functional Collaboration,S02,เมื่อเริ่มงานที่ต้องทำร่วมกันหลายฝ่าย,Q02,การทำงานร่วมกัน
3,Ownership,S03,เมื่อเกิดปัญหาเร่งด่วนที่กระทบหลายทีม,Q03,ความรับผิดชอบ
4,Goal Setting,S04,เมื่อทีมตั้งเป้าหมาย,Q04,การตั้งเป้าหมาย
5,Learning from Failure,S05,เมื่อทดลองแล้วไม่เป็นไปตามเป้า,Q05,การเรียนรู้จากความผิดพลาด
6,Conflict & Decision,S06,เมื่อคนในทีมเห็นไม่ตรงกัน,Q06,การตัดสินใจ
7,Customer / Audience Agility,S07,เมื่อลูกค้าหรือผู้ชมเปลี่ยนเร็ว,Q07,การตอบสนองลูกค้า
8,Empowerment,S08,เมื่อพนักงานต้องตัดสินใจเอง,Q08,การให้อำนาจตัดสินใจ
9,Leadership Role,S09,เมื่อหัวหน้าช่วยทีมทำงานยาก,Q09,บทบาทผู้นำ
10,Resource Allocation,S10,เมื่อคน งบ และเวลามีจำกัด,Q10,การจัดสรรทรัพยากร
11,Recognition & Promotion,S11,เมื่อยกย่องหรือพิจารณาความก้าวหน้า,Q11,การยอมรับและความก้าวหน้า
12,Workflow Transformation,S12,เมื่อองค์กรเปลี่ยนวิธีทำงาน,Q12,การเปลี่ยนแปลงวิธีทำงาน
