Scenario-Based Culture Survey — Prototype Language Review (2026-pilot-v2),,,,,,,,,,,,,,,,
หลักการตอบ: ไม่มีคำตอบถูกหรือผิด ให้เลือก 1 คำตอบสำหรับ “สิ่งที่เกิดขึ้นจริงในปัจจุบัน” และ 1 คำตอบสำหรับ “สิ่งที่อยากเห็นในอนาคต”,,,,,,,,,,,,,,,,
Current prompt,จากประสบการณ์จริง วันนี้องค์กรมักทำแบบไหน,,,,,,,,,,,,,,,
Desired prompt,ในอนาคต คุณอยากให้องค์กรทำแบบไหน,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ลำดับ,Scenario ID,Workplace Dimension,หัวข้อสถานการณ์,คำถาม/สถานการณ์,ตัวเลือก A,Mapping A,ตัวเลือก B,Mapping B,ตัวเลือก C,Mapping C,ตัวเลือก D,Mapping D,สถานะตรวจสอบ,ความเห็น OD,ผู้ตรวจ,วันที่ตรวจ
1,S01,Innovation & Experimentation,เมื่อทีมมีไอเดียใหม่,ทีมมีไอเดียที่อาจช่วยให้งานดีขึ้น แต่ยังไม่แน่ใจว่าจะได้ผล องค์กรของเรามักทำอย่างไร,ชวนคนที่เกี่ยวข้องมาคุยกัน เพื่อช่วยกันดูว่าไอเดียนี้ควรเดินต่ออย่างไร,Clan,ทดลองในวงเล็กก่อน แล้วดูผลเพื่อปรับหรือขยายต่อ,Adhocracy,ดูว่าไอเดียนี้ช่วยเป้าหมาย ลูกค้า หรือธุรกิจได้มากแค่ไหน,Market,เช็กบทบาท ขั้นตอน และผู้อนุมัติให้ชัดก่อนเริ่ม,Hierarchy,รอตรวจ,,,
2,S02,Cross-functional Collaboration,เมื่อเริ่มงานที่ต้องทำร่วมกันหลายฝ่าย,มีโครงการสำคัญที่หลายฝ่ายต้องช่วยกัน องค์กรของเรามักเริ่มต้นอย่างไร,ตกลงเป้าหมาย ผลลัพธ์ เจ้าภาพ และกำหนดเวลาให้ชัด,Market,กำหนดบทบาท ขั้นตอน และลำดับการอนุมัติก่อนเริ่ม,Hierarchy,คุยถึงข้อจำกัดของแต่ละฝ่าย และตกลงว่าจะช่วยกันอย่างไร,Clan,เริ่มทำต้นแบบร่วมกันก่อน แล้วปรับจากสิ่งที่เรียนรู้,Adhocracy,รอตรวจ,,,
3,S03,Ownership,เมื่อเกิดปัญหาเร่งด่วนที่กระทบหลายทีม,เกิดปัญหาเร่งด่วน แต่ยังไม่ชัดว่าใครต้องรับผิดชอบ องค์กรของเรามักทำอย่างไร,ตรวจสอบว่าเป็นหน้าที่ของหน่วยงานใด แล้วดำเนินการตามขั้นตอน,Hierarchy,เรียกคนที่เกี่ยวข้องมาช่วยกัน แบ่งงาน และติดตามจนปัญหาจบ,Clan,ตั้งเจ้าภาพที่ตัดสินใจได้ พร้อมกำหนดเวลาและผลลัพธ์ให้ชัด,Market,ลองใช้วิธีแก้ที่เสี่ยงต่ำก่อน แล้วปรับตามสถานการณ์,Adhocracy,รอตรวจ,,,
4,S04,Goal Setting,เมื่อทีมตั้งเป้าหมาย,เมื่อต้องกำหนดเป้าหมายรอบใหม่ องค์กรของเรามักให้ความสำคัญกับเรื่องใดมากที่สุด,KPI ผู้รับผิดชอบ วิธีติดตาม และมาตรฐานต้องชัด,Hierarchy,เป้าหมายต้องท้าทาย สร้างผลต่อลูกค้า และช่วยให้องค์กรแข่งขันได้,Market,ทีมได้ร่วมคิด เป้าหมายเป็นธรรม และทุกคนได้รับการสนับสนุน,Clan,ทีมมีโอกาสลองวิธีใหม่ และปรับเป้าหมายได้เมื่อมีข้อมูลเพิ่ม,Adhocracy,รอตรวจ,,,
5,S05,Learning from Failure,เมื่อทดลองแล้วไม่เป็นไปตามเป้า,ทีมลองทำวิธีใหม่ แต่ผลยังไม่เป็นไปตามเป้า องค์กรของเรามักทำอย่างไร,เปิดให้ทีมคุยถึงสิ่งที่เกิดขึ้น และช่วยกันวางทางแก้สำหรับรอบต่อไป,Clan,ดูผลกระทบต่อเป้าหมาย กำหนดคนรับผิดชอบ และเร่งให้งานกลับมาตามแผน,Market,หาสาเหตุ ปรับขั้นตอน และเพิ่มจุดตรวจเพื่อไม่ให้เกิดซ้ำ,Hierarchy,ดูว่าอะไรไม่เป็นไปตามที่คิด แล้วลองทางเลือกใหม่ในวงเล็ก,Adhocracy,รอตรวจ,,,
6,S06,Conflict & Decision,เมื่อคนในทีมเห็นไม่ตรงกัน,ผู้เกี่ยวข้องมีความเห็นต่างกันเรื่องวิธีทำงาน องค์กรของเรามักหาข้อสรุปอย่างไร,ใช้ข้อมูล เป้าหมาย และผลต่อธุรกิจเป็นหลัก,Market,ให้ผู้มีอำนาจตามบทบาทหรือกติกาเป็นผู้ตัดสิน,Hierarchy,เปิดให้ทุกฝ่ายคุยและรับฟังกัน เพื่อหาทางออกที่ทำร่วมกันได้,Clan,ทดลองหลายวิธีในวงเล็ก แล้วใช้ผลจริงช่วยตัดสิน,Adhocracy,รอตรวจ,,,
7,S07,Customer / Audience Agility,เมื่อลูกค้าหรือผู้ชมเปลี่ยนเร็ว,ทีมเห็นว่าความต้องการของลูกค้าหรือผู้ชมกำลังเปลี่ยน องค์กรของเรามักทำอะไรต่อ,ชวนหลายฝ่ายมาแชร์ข้อมูล และช่วยกันหาวิธีตอบโจทย์ลูกค้า,Clan,ดูโอกาสทางธุรกิจ และกำหนดเป้าหมายที่ต้องทำให้ได้,Market,ทดลองคอนเทนต์หรือบริการใหม่กับกลุ่มเล็ก แล้วปรับอย่างรวดเร็ว,Adhocracy,ทบทวนขั้นตอน มาตรฐาน และผู้อนุมัติก่อนเปลี่ยน,Hierarchy,รอตรวจ,,,
8,S08,Empowerment,เมื่อพนักงานต้องตัดสินใจเอง,พนักงานเจอสถานการณ์ที่ไม่มีระบุในคู่มือ แต่ต้องตัดสินใจเร็ว องค์กรของเรามักคาดหวังให้ทำอย่างไร,ถามผู้มีอำนาจหรือเช็กระเบียบให้ชัดก่อนลงมือ,Hierarchy,ตัดสินใจจากเป้าหมายและผลกระทบ พร้อมรับผิดชอบและรายงานผล,Market,ขอความเห็นจากเพื่อนหรือผู้เกี่ยวข้องก่อน เพื่อให้ทุกฝ่ายยอมรับ,Clan,เลือกวิธีที่ลองได้เร็ว และกลับมาแก้ได้หากผลไม่เป็นไปตามที่คาด,Adhocracy,รอตรวจ,,,
9,S09,Leadership Role,เมื่อหัวหน้าช่วยทีมทำงานยาก,เมื่อลูกทีมเจองานที่ยากหรือท้าทาย องค์กรของเรามักเห็นหัวหน้าทำบทบาทใดมากที่สุด,กำหนดขั้นตอนและมาตรฐาน พร้อมติดตามงานอย่างใกล้ชิด,Hierarchy,รับฟัง ให้คำแนะนำ และช่วยให้ลูกทีมพัฒนา,Clan,ตั้งเป้าหมาย ติดตามผล และผลักดันให้ส่งมอบตามที่ตกลง,Market,เปิดโอกาสให้ลองวิธีใหม่ ให้อิสระ และช่วยสรุปบทเรียน,Adhocracy,รอตรวจ,,,
10,S10,Resource Allocation,เมื่อคน งบ และเวลามีจำกัด,หลายโครงการต้องใช้คน งบ และเวลาในช่วงเดียวกัน องค์กรของเรามักจัดลำดับอย่างไร,เลือกจากผลตอบแทน ความสำคัญต่อธุรกิจ และผลลัพธ์ที่คาดว่าจะได้,Market,จัดสรรตามแผน งบประมาณ และขั้นตอนอนุมัติที่กำหนด,Hierarchy,ให้แต่ละฝ่ายคุยกัน แบ่งปันทรัพยากร และหาทางออกที่ทุกฝ่ายรับได้,Clan,กันทรัพยากรบางส่วนไว้ลองโอกาสใหม่ แล้วเพิ่มหรือลดตามผล,Adhocracy,รอตรวจ,,,
